date,past_2_weeks_per_capita,lon,lat,height
2020-10-26T00:00:00,5.9110499222,-91.9324757468,34.2691449731,M 0 0 L 0 -6.20660241831
2020-10-27T00:00:00,5.7763677721,-91.9324757468,34.2691449731,M 0 0 L 0 -6.065186160705001
2020-10-15T00:00:00,4.5944791995,-84.8400468434,34.2379796285,M 0 0 L 0 -4.824203159475
2020-10-16T00:00:00,4.7429876181,-84.8400468434,34.2379796285,M 0 0 L 0 -4.980136999005
2020-10-17T00:00:00,4.7801147228,-84.8400468434,34.2379796285,M 0 0 L 0 -5.01912045894
2020-10-18T00:00:00,5.0028773506,-84.8400468434,34.2379796285,M 0 0 L 0 -5.253021218130001
2020-10-19T00:00:00,5.1699493215,-84.8400468434,34.2379796285,M 0 0 L 0 -5.428446787575
2020-10-24T00:00:00,4.5202249903,-84.8400468434,34.2379796285,M 0 0 L 0 -4.746236239815
2020-10-25T00:00:00,4.5573520949,-84.8400468434,34.2379796285,M 0 0 L 0 -4.785219699645
2020-10-26T00:00:00,4.6872969611,-84.8400468434,34.2379796285,M 0 0 L 0 -4.921661809155
2020-10-27T00:00:00,4.5944791995,-84.8400468434,34.2379796285,M 0 0 L 0 -4.824203159475
2020-10-15T00:00:00,6.9502410439,-83.2663729067,30.8338839726,M 0 0 L 0 -7.297753096095001
2020-10-16T00:00:00,7.1120726368,-83.2663729067,30.8338839726,M 0 0 L 0 -7.46767626864
2020-10-17T00:00:00,7.3250089433,-83.2663729067,30.8338839726,M 0 0 L 0 -7.691259390465
2020-10-18T00:00:00,7.3164914911,-83.2663729067,30.8338839726,M 0 0 L 0 -7.682316065655
2020-10-19T00:00:00,7.4101834659,-83.2663729067,30.8338839726,M 0 0 L 0 -7.780692639195001
2020-10-15T00:00:00,5.2570394296,-86.2895913875,41.6163094654,M 0 0 L 0 -5.51989140108
2020-10-16T00:00:00,5.389477092,-86.2895913875,41.6163094654,M 0 0 L 0 -5.6589509466
2020-10-17T00:00:00,5.4115500357,-86.2895913875,41.6163094654,M 0 0 L 0 -5.682127537485001
2020-10-18T00:00:00,5.385798268,-86.2895913875,41.6163094654,M 0 0 L 0 -5.655088181400001
2020-10-19T00:00:00,5.4225865075,-86.2895913875,41.6163094654,M 0 0 L 0 -5.693715832875
2020-10-20T00:00:00,5.7352865436,-86.2895913875,41.6163094654,M 0 0 L 0 -6.02205087078
2020-10-21T00:00:00,5.7500018394,-86.2895913875,41.6163094654,M 0 0 L 0 -6.0375019313700005
2020-10-22T00:00:00,5.7720747831,-86.2895913875,41.6163094654,M 0 0 L 0 -6.060678522255
2020-10-23T00:00:00,6.0590230515,-86.2895913875,41.6163094654,M 0 0 L 0 -6.361974204075
2020-10-24T00:00:00,6.103168939,-86.2895913875,41.6163094654,M 0 0 L 0 -6.40832738595
2020-10-25T00:00:00,6.0148771641,-86.2895913875,41.6163094654,M 0 0 L 0 -6.315621022305
2020-10-26T00:00:00,6.1914607138,-86.2895913875,41.6163094654,M 0 0 L 0 -6.50103374949
2020-10-27T00:00:00,6.0369501078,-86.2895913875,41.6163094654,M 0 0 L 0 -6.338797613190001
2020-10-26T00:00:00,5.1090941877,-106.9303727579,34.00667031,M 0 0 L 0 -5.364548897085
2020-10-27T00:00:00,5.2293081685,-106.9303727579,34.00667031,M 0 0 L 0 -5.490773576925
2020-10-15T00:00:00,7.5398057391,-101.5424426516,48.2221006414,M 0 0 L 0 -7.9167960260550005
2020-10-16T00:00:00,7.9241879925,-101.5424426516,48.2221006414,M 0 0 L 0 -8.320397392125
2020-10-17T00:00:00,9.0329829541,-101.5424426516,48.2221006414,M 0 0 L 0 -9.484632101805
2020-10-18T00:00:00,9.1069026182,-101.5424426516,48.2221006414,M 0 0 L 0 -9.56224774911
2020-10-19T00:00:00,9.8313153265,-101.5424426516,48.2221006414,M 0 0 L 0 -10.322881092825002
2020-10-20T00:00:00,10.540944102,-101.5424426516,48.2221006414,M 0 0 L 0 -11.0679913071
2020-10-21T00:00:00,11.1323014148,-101.5424426516,48.2221006414,M 0 0 L 0 -11.688916485540002
2020-10-22T00:00:00,12.0193373841,-101.5424426516,48.2221006414,M 0 0 L 0 -12.620304253305001
2020-10-23T00:00:00,12.9211572863,-101.5424426516,48.2221006414,M 0 0 L 0 -13.567215150615
2020-10-24T00:00:00,13.4238110022,-101.5424426516,48.2221006414,M 0 0 L 0 -14.095001552310002
2020-10-25T00:00:00,14.5917416951,-101.5424426516,48.2221006414,M 0 0 L 0 -15.321328779855
2020-10-26T00:00:00,14.9613400157,-101.5424426516,48.2221006414,M 0 0 L 0 -15.709407016485
2020-10-27T00:00:00,15.345722269,-101.5424426516,48.2221006414,M 0 0 L 0 -16.11300838245
2020-10-15T00:00:00,13.1864947109,-97.8840816902,42.9891570472,M 0 0 L 0 -13.845819446445
2020-10-16T00:00:00,14.0559339226,-97.8840816902,42.9891570472,M 0 0 L 0 -14.75873061873
2020-10-17T00:00:00,14.780466599,-97.8840816902,42.9891570472,M 0 0 L 0 -15.519489928950001
2020-10-18T00:00:00,27.3873351688,-97.8840816902,42.9891570472,M 0 0 L 0 -28.75670192724
2020-10-19T00:00:00,28.4016809158,-97.8840816902,42.9891570472,M 0 0 L 0 -29.821764961590002
2020-10-20T00:00:00,29.4160266628,-97.8840816902,42.9891570472,M 0 0 L 0 -30.886827995940003
2020-10-21T00:00:00,30.1405593392,-97.8840816902,42.9891570472,M 0 0 L 0 -31.647587306160002
2020-10-22T00:00:00,30.2854658745,-97.8840816902,42.9891570472,M 0 0 L 0 -31.799739168225003
2020-10-23T00:00:00,33.1835965802,-97.8840816902,42.9891570472,M 0 0 L 0 -34.84277640921
2020-10-24T00:00:00,49.9927546732,-97.8840816902,42.9891570472,M 0 0 L 0 -52.49239240686
2020-10-25T00:00:00,49.5580350674,-97.8840816902,42.9891570472,M 0 0 L 0 -52.035936820770004
2020-10-26T00:00:00,69.1204173308,-97.8840816902,42.9891570472,M 0 0 L 0 -72.57643819734
2020-10-27T00:00:00,88.2480799884,-97.8840816902,42.9891570472,M 0 0 L 0 -92.66048398782
2020-10-15T00:00:00,9.1389998356,-88.4901541591,43.7535786938,M 0 0 L 0 -9.59594982738
2020-10-16T00:00:00,9.5548485054,-88.4901541591,43.7535786938,M 0 0 L 0 -10.03259093067
2020-10-17T00:00:00,10.1544442618,-88.4901541591,43.7535786938,M 0 0 L 0 -10.66216647489
2020-10-18T00:00:00,9.6612283976,-88.4901541591,43.7535786938,M 0 0 L 0 -10.14428981748
